11	"World Team Championship 2022"	"Robert Parsons"	"Australia"	""	73	"M"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"50:53"	"51:22"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"59:59"	"DNC"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
12	"World Team Championship 2022"	"Steve Slaby"	"United States"	""	72	"M"	"51:02"	"51:08"	"51:06"	"51:48"	"51:06"	"54:11"	"53:03"	"50:31"	"52:04"	"53:24"	"52:49"	"47:41"	"48:34"	"48:22"	"47:13"	"47:56"	"48:26"	"48:14"	"48:01"	"47:03"	"47:24"	"47:09"	"46:21"	"46:01"	"54:44"	"52:42"	"53:53"	"53:26"	"54:00"	"53:52"	"55:09"	"54:50"	"54:46"	"55:19"	"55:30"	"47:56"	"47:59"	"48:53"	"49:25"	"48:35"	"48:18"	"49:11"	"49:07"	"48:22"	"48:48"	"49:24"	"48:50"	"48:06"	"55:39"	"55:32"	"55:36"	"55:31"	"56:58"	"56:49"	"56:05"	"56:39"	"56:06"	"56:06"	"56:43"	"49:04"	"50:44"	"51:37"	"51:56"	"51:27"	"53:45"	"54:34"	"54:57"	"56:13"	"55:24"	"55:36"	"54:39"	"52:07"	"DNC"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
13	"World Team Championship 2022"	"Dan Yovichin"	"United States"	""	70	"M"	"52:33"	"52:21"	"51:13"	"51:54"	"50:57"	"51:35"	"52:07"	"52:32"	"52:20"	"54:40"	"53:20"	"46:41"	"48:18"	"48:57"	"46:55"	"50:15"	"46:53"	"47:03"	"47:05"	"49:33"	"46:59"	"47:51"	"48:13"	"46:59"	"54:15"	"52:51"	"53:08"	"54:05"	"53:27"	"53:32"	"52:41"	"53:10"	"54:03"	"54:07"	"55:07"	"51:16"	"51:24"	"50:14"	"50:00"	"47:42"	"47:51"	"48:19"	"51:04"	"48:54"	"48:15"	"48:52"	"49:39"	"49:20"	"54:56"	"54:53"	"54:33"	"54:29"	"55:08"	"55:45"	"55:22"	"55:39"	"56:47"	"56:47"	"57:08"	"56:50"	"54:45"	"54:10"	"52:39"	"53:53"	"53:08"	"49:25"	"49:58"	"50:50"	"54:13"	"55:13"	"DNC"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
14	"World Team Championship 2022"	"Ihor Verys"	"Canada"	""	67	"M"	"53:32"	"53:48"	"53:08"	"53:50"	"53:21"	"54:18"	"52:14"	"53:36"	"52:58"	"52:51"	"53:06"	"52:27"	"53:11"	"53:27"	"54:07"	"52:33"	"53:39"	"53:05"	"54:11"	"52:24"	"54:02"	"53:23"	"53:29"	"55:20"	"53:06"	"51:18"	"47:22"	"49:19"	"51:18"	"53:49"	"52:07"	"51:48"	"51:45"	"50:07"	"50:51"	"51:10"	"56:00"	"54:55"	"53:29"	"53:27"	"52:50"	"53:11"	"54:08"	"52:25"	"53:17"	"53:20"	"50:09"	"53:00"	"54:02"	"52:55"	"52:02"	"52:03"	"52:57"	"53:29"	"51:30"	"52:50"	"52:55"	"53:02"	"52:42"	"51:19"	"52:25"	"54:16"	"53:15"	"54:06"	"54:10"	"52:59"	"52:12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
15	"World Team Championship 2022"	"Kurai Quatresous"	"Japan"	""	67	"M"	"40:41"	"40:19"	"41:01"	"39:11"	"38:23"	"38:51"	"39:31"	"38:56"	"39:40"	"38:01"	"38:11"	"38:54"	"39:56"	"40:11"	"40:21"	"40:22"	"40:08"	"39:46"	"39:55"	"40:10"	"39:16"	"41:15"	"43:34"	"43:57"	"44:43"	"45:27"	"46:02"	"44:09"	"46:48"	"45:01"	"47:36"	"45:47"	"45:29"	"42:47"	"43:07"	"43:10"	"50:09"	"44:34"	"44:15"	"46:25"	"45:49"	"46:10"	"47:12"	"46:02"	"46:44"	"47:54"	"48:17"	"44:52"	"49:07"	"49:10"	"44:00"	"46:08"	"46:58"	"47:26"	"46:16"	"48:07"	"48:04"	"48:05"	"47:15"	"46:03"	"48:17"	"46:33"	"50:10"	"56:51"	"57:49"	"56:23"	"58:21"	"DNC"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
16	"World Team Championship 2022"	"Frank Gielen"	"Belgium"	""	67	"M"	"44:33"	"48:15"	"49:05"	"47:00"	"45:35"	"47:23"	"48:53"	"49:42"	"46:31"	"43:07"	"48:53"	"48:22"	"48:14"	"47:47"	"48:47"	"48:42"	"47:36"	"47:58"	"48:38"	"45:59"	"40:26"	"41:20"	"44:55"	"48:00"	"46:40"	"47:58"	"47:44"	"45:11"	"48:21"	"48:40"	"48:50"	"52:31"	"50:22"	"49:56"	"48:30"	"51:55"	"50:15"	"50:59"	"52:06"	"52:57"	"55:08"	"54:01"	"51:19"	"52:04"	"50:13"	"54:07"	"51:33"	"53:11"	"52:27"	"54:30"	"52:05"	"52:15"	"54:02"	"53:07"	"52:57"	"53:51"	"56:02"	"52:43"	"53:09"	"55:38"	"52:42"	"55:18"	"53:36"	"54:25"	"56:26"	"57:22"	"57:09"	"DNC"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
17	"World Team Championship 2022"	"Reyes Satevo"	"Mexico"	""	66	"M"	"45:10"	"44:52"	"42:11"	"39:15"	"40:19"	"43:50"	"41:30"	"42:46"	"41:29"	"43:55"	"42:00"	"41:55"	"41:42"	"45:55"	"44:20"	"44:30"	"45:59"	"43:50"	"45:35"	"46:10"	"47:40"	"48:20"	"44:16"	"49:45"	"45:20"	"39:50"	"39:55"	"42:30"	"44:10"	"42:30"	"44:10"	"42:30"	"45:30"	"45:20"	"43:50"	"39:55"	"45:30"	"49:20"	"50:30"	"52:30"	"49:55"	"48:26"	"52:00"	"50:10"	"49:50"	"50:15"	"53:00"	"52:20"	"53:30"	"47:00"	"44:00"	"43:10"	"51:00"	"52:00"	"52:30"	"51:50"	"52:10"	"54:30"	"51:00"	"51:00"	"51:00"	"50:10"	"46:30"	"55:00"	"57:30"	"47:00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
18	"World Team Championship 2022"	"Soren Moller"	"Denmark"	""	66	"M"	"45:06"	"50:06"	"48:02"	"47:11"	"48:13"	"48:30"	"50:06"	"48:38"	"49:10"	"48:43"	"47:29"	"47:29"	"49:11"	"35:09"	"48:35"	"47:41"	"46:58"	"45:45"	"46:47"	"42:48"	"45:50"	"48:14"	"48:32"	"47:45"	"43:30"	"47:52"	"46:18"	"48:30"	"48:41"	"50:00"	"48:28"	"49:04"	"49:14"	"49:07"	"47:38"	"50:10"	"47:53"	"49:19"	"48:37"	"49:20"	"46:25"	"49:27"	"50:34"	"50:44"	"50:42"	"51:14"	"51:04"	"50:31"	"47:58"	"47:22"	"49:44"	"51:08"	"51:20"	"51:40"	"51:24"	"46:04"	"51:54"	"51:23"	"53:00"	"52:20"	"48:00"	"51:21"	"52:37"	"44:30"	"53:30"	"51:16"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
19	"World Team Championship 2022"	"Eric Deshaies"	"Canada"	""	66	"M"	"49:58"	"48:32"	"48:20"	"47:43"	"48:19"	"47:47"	"47:57"	"48:14"	"48:14"	"48:05"	"48:06"	"48:07"	"47:45"	"48:27"	"48:34"	"48:48"	"48:23"	"42:50"	"49:00"	"49:40"	"46:16"	"49:44"	"48:37"	"47:23"	"50:20"	"48:49"	"44:13"	"49:19"	"46:30"	"48:33"	"47:44"	"48:18"	"47:23"	"50:07"	"45:51"	"52:27"	"51:16"	"54:51"	"49:37"	"53:19"	"52:12"	"53:05"	"53:50"	"50:50"	"52:02"	"53:16"	"50:35"	"52:35"	"51:20"	"51:17"	"51:10"	"52:07"	"52:54"	"53:20"	"51:38"	"52:17"	"52:17"	"52:34"	"52:01"	"51:19"	"52:19"	"54:08"	"52:58"	"54:05"	"56:54"	"59:32"	"RTC"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
20	"World Team Championship 2022"	"Kevin Sneyders"	"Belgium"	""	65	"M"	"44:31"	"40:20"	"44:16"	"45:00"	"45:36"	"44:03"	"43:59"	"44:23"	"46:34"	"45:20"	"46:11"	"46:48"	"45:55"	"44:00"	"42:39"	"44:25"	"46:11"	"47:12"	"43:22"	"44:34"	"44:59"	"44:14"	"44:57"	"43:06"	"43:55"	"44:22"	"45:14"	"45:12"	"46:17"	"46:02"	"45:19"	"45:57"	"47:34"	"43:02"	"45:24"	"46:34"	"48:44"	"46:48"	"47:03"	"46:54"	"47:07"	"47:20"	"46:57"	"46:49"	"46:30"	"48:20"	"45:45"	"47:56"	"47:50"	"46:42"	"49:04"	"48:06"	"49:58"	"46:59"	"45:37"	"44:47"	"44:51"	"44:14"	"47:25"	"51:03"	"48:10"	"50:36"	"53:34"	"52:25"	"57:35"	"DNC"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
