24	Heavy Metal Ultra 2020	Martins Kacens	Latvia	Riga	11	M	47:02	48:24	48:17	48:10	50:22	49:05	50:10	49:58	49:54	52:59	54:39																																																																																											
25	Heavy Metal Ultra 2020	Maichl Suur	Estonia	SK ProRunner	11	M	54:20	52:21	52:16	53:26	52:44	52:39	52:50	53:21	53:13	53:50	55:53																																																																																											
26	Heavy Metal Ultra 2020	Heno Ivanov	Estonia	Tartu	10	M	39:22	39:28	39:35	42:44	40:06	46:51	45:48	45:03	45:39	37:35																																																																																												
27	Heavy Metal Ultra 2020	Raul Kangur	Estonia	OK Peko	10	M	41:56	42:55	43:50	45:05	44:44	45:50	45:21	46:13	46:23	45:36																																																																																												
28	Heavy Metal Ultra 2020	Benjamin Whyte	United Kingdom	British Army	10	M	42:44	45:25	43:48	43:07	43:21	44:17	45:19	46:30	47:45	49:33																																																																																												
29	Heavy Metal Ultra 2020	Narbahadur Gurung	Nepal	British Army	10	M	41:24	45:25	43:54	43:01	43:13	42:44	43:46	44:07	47:34	50:55																																																																																												
30	Heavy Metal Ultra 2020	Jack Aberdeen	United Kingdom	British Army	10	M	41:52	44:19	43:47	44:52	46:11	47:55	47:18	50:05	52:24	57:16																																																																																												
31	Heavy Metal Ultra 2020	William Heseltine	United Kingdom	British Army	10	M	47:09	48:57	49:17	46:07	51:56	48:23	47:40	50:37	50:08	57:17																																																																																												
32	Heavy Metal Ultra 2020	Harri Laine	Finland		10	M	56:42	54:33	54:33	54:40	54:57	55:13	55:34	55:48	57:23	57:39																																																																																												
33	Heavy Metal Ultra 2020	Tarmo Jõgi	Estonia	Merimetsa SK	9	M	41:06	43:06	43:47	42:53	44:53	44:37	44:50	46:42	50:53																																																																																													
34	Heavy Metal Ultra 2020	Karl Sachris	Estonia	Tallinn	9	M	48:25	48:49	44:46	45:00	47:03	48:32	44:34	45:48	50:07																																																																																													
35	Heavy Metal Ultra 2020	Rayhon Shambayati	United Kingdom	British Army	9	M	48:34	48:56	52:18	52:32	51:58	51:09	51:11	50:13	56:47																																																																																													
36	Heavy Metal Ultra 2020	Ülar Aasa	Estonia	Tallinn	9	M	48:28	48:42	48:13	47:38	47:08	49:42	53:24	54:49	57:37																																																																																													
37	Heavy Metal Ultra 2020	Priit Valk	Estonia	Peetri alevik	8	M	43:34	52:36	53:15	49:50	48:38	48:42	45:54	46:15																																																																																														
38	Heavy Metal Ultra 2020	Colin Bland	United Kingdom	British Army	8	M	43:29	45:12	44:02	44:41	43:05	43:58	44:12	46:37																																																																																														
39	Heavy Metal Ultra 2020	Tambet Tõnisson	Estonia	Tallinn	8	M	44:37	47:19	45:18	47:49	46:55	47:37	47:12	47:47																																																																																														
40	Heavy Metal Ultra 2020	Mihkel Mets	Estonia	Tartu	8	M	43:29	43:02	40:53	41:53	42:29	44:25	45:51	49:37																																																																																														
41	Heavy Metal Ultra 2020	Matthew Foley	United Kingdom	British Army	8	M	47:12	47:38	47:07	48:56	48:44	47:57	47:32	52:28																																																																																														
42	Heavy Metal Ultra 2020	Mart Maasikrand	Estonia	EUT/Pulss/SKA	8	M	48:27	48:34	48:22	49:07	47:25	48:55	49:22	54:13																																																																																														
43	Heavy Metal Ultra 2020	Adam Oakes	United Kingdom	British Army	8	M	39:23	41:55	39:57	40:32	41:17	42:43	47:47	54:59																																																																																														
44	Heavy Metal Ultra 2020	David O'Campo-Morales	United Kingdom	British Army	8	M	37:09	43:46	42:25	46:59	53:32	50:29	51:09	55:02																																																																																														
45	Heavy Metal Ultra 2020	Andres Jakovlev	Estonia	Tallinn	8	M	48:33	45:11	46:07	45:51	45:42	47:42	48:27	55:11																																																																																														
46	Heavy Metal Ultra 2020	Tommy Granlund	Finland	Puuhapussi	8	M	56:41	53:58	53:58	53:21	53:52	53:25	52:50	56:04																																																																																														
47	Heavy Metal Ultra 2020	Heiki Prants	Estonia	Võru Suusaklubi	7	M	40:08	41:59	40:47	40:35	41:20	44:02	44:26																																																																																															
48	Heavy Metal Ultra 2020	Gary Merrit	United Kingdom	British Army	7	M	39:23	41:49	40:34	44:43	47:12	51:36	50:25																																																																																															
49	Heavy Metal Ultra 2020	Jake Clempson	United Kingdom	British Army	7	M	37:20	40:29	39:25	40:25	43:15	50:31	51:37																																																																																															
50	Heavy Metal Ultra 2020	Aimar Liiver	Estonia	Telia SK	7	M	40:24	39:25	38:29	39:11	41:17	46:39	51:58																																																																																															
51	Heavy Metal Ultra 2020	Viigi Kipper	Estonia	SK Võhma	7	F	50:14	50:32	50:49	50:47	52:58	52:42	52:13																																																																																															
52	Heavy Metal Ultra 2020	Mihkel Paal	Estonia	Kirgas Kane	7	M	50:30	50:12	49:30	49:05	49:55	51:56	52:27																																																																																															
53	Heavy Metal Ultra 2020	Valdo Kanemägi	Estonia	Grupeerunud Spordilaiskurid	7	M	47:07	49:09	51:13	49:52	51:55	51:40	53:48																																																																																															
54	Heavy Metal Ultra 2020	Ruslan Simagin	Estonia	Väljamäe	7	M	41:57	48:49	48:39	50:13	52:59	51:54	54:46																																																																																															
55	Heavy Metal Ultra 2020	Erkki Vähi	Estonia	Tallinn	7	M	48:35	48:29	48:25	49:11	49:15	52:32	55:21																																																																																															
56	Heavy Metal Ultra 2020	Stephen Thompson	United Kingdom	British Army	7	M	43:26	43:00	43:50	47:14	51:20	51:00	55:29																																																																																															
57	Heavy Metal Ultra 2020	Jake Bloor	United Kingdom	British Army	7	M	41:53	42:54	43:03	44:05	48:22	50:56	55:47																																																																																															
58	Heavy Metal Ultra 2020	Paul Nael	Estonia	Tallinn	7	M	48:29	48:22	48:12	47:38	52:06	56:01	56:13																																																																																															
59	Heavy Metal Ultra 2020	Helen Rätsep	Estonia	Talllinn	7	F	41:54	44:07	47:12	52:43	55:28	58:19	56:38																																																																																															
60	Heavy Metal Ultra 2020	Evelin Pellenen	Estonia	Tartu	7	F	54:20	52:22	52:16	53:25	52:44	54:10	57:13																																																																																															
61	Heavy Metal Ultra 2020	Valdo Jahilo	Estonia	Keskkonnaagentuur	7	M	48:25	48:22	48:13	47:39	53:24	55:37	57:43																																																																																															
62	Heavy Metal Ultra 2020	Madis Reisenbuk	Estonia	Tammispää k.	7	M	52:41	50:40	51:12	52:31	52:09	55:24	57:55																																																																																															
63	Heavy Metal Ultra 2020	Urmas Kõrgvee	Estonia	Suusahullud	7	M	40:08	45:52	46:54	50:18	54:09	56:29	58:22																																																																																															
64	Heavy Metal Ultra 2020	Tiina Kapten	Estonia	Sõudespinning.ee/Tallinn	7	F	52:57	52:25	52:34	53:35	56:15	56:33	57:50																																																																																															
65	Heavy Metal Ultra 2020	Kalvi Arusaar	Estonia	MTÜ Koeru Spordiklubi	6	M	38:49	37:40	36:06	37:33	45:01	47:22																																																																																																
66	Heavy Metal Ultra 2020	Peteri Grauen	Estonia	Keila	5	M	36:13	34:25	34:03	35:10	35:01																																																																																																	
67	Heavy Metal Ultra 2020	Sander Hannus	Estonia	42koma / Tartu	5	M	49:06	51:48	50:30	47:41	53:32																																																																																																	
68	Heavy Metal Ultra 2020	Sander Lepik	Estonia	42koma / Tartu	5	M	49:07	51:48	50:29	47:40	53:34																																																																																																	
69	Heavy Metal Ultra 2020	Aleksander Malõš	Estonia	Kose-Uuemõisa	5	M	51:41	48:12	50:36	53:45	57:12																																																																																																	
70	Heavy Metal Ultra 2020	Vilve Pilv	Estonia	Viimsi	5	F	48:32	50:38	52:44	54:51	58:17																																																																																																	
71	Heavy Metal Ultra 2020	Peeter Ingerma	Estonia	UPSport	5	M	54:09	52:07	52:22	52:04	58:14																																																																																																	
72	Heavy Metal Ultra 2020	Riina Tammistu	Estonia	Suusahullud	4	F	53:02	51:09	53:11	56:14																																																																																																		
73	Heavy Metal Ultra 2020	Kertu Lepiksaar	Estonia	Keila	4	F	45:28	48:40	50:35	57:40																																																																																																		
74	Heavy Metal Ultra 2020	Aivar Kivi	Estonia	Narva	4	M	43:33	45:38	54:01	58:32																																																																																																		
75	Heavy Metal Ultra 2020	Pille Kalda	Estonia	Taltsi Totsid	2	F	55:07	57:30																																																																																																				
