1	Heavy Metal Ultra 2022	Szilard Fodor	Hungary	EMU	28	M	35:53	35:55	37:10	35:48	38:18	39:03	38:14	39:01	41:03	39:22	39:58	41:40	42:43	43:06	43:29	43:45	44:48	47:08	45:04	43:32	42:42	42:22	44:05	43:33	42:49	43:19	42:48	45:54																																																																										
2	Heavy Metal Ultra 2022	Rait Ratasepp	Estonia	Tartu vald	27	M	30:47	30:18	30:41	30:48	30:26	30:18	30:17	30:37	30:39	30:42	30:55	32:05	32:10	32:32	33:24	33:41	33:27	33:31	34:17	34:22	34:32	34:05	34:11	34:07	34:17	34:51	38:21																																																																											
3	Heavy Metal Ultra 2022	Ritvars Kalniņš	Latvia	Skrienam kopā/Kronus/Valmiera	26	M	36:53	27:16	35:24	35:11	34:51	34:14	34:38	33:49	34:45	36:01	37:18	40:43	41:19	41:01	40:38	40:37	40:38	42:00	41:21	40:15	39:39	39:48	39:46	40:15	39:54	40:20																																																																												
4	Heavy Metal Ultra 2022	Reigo Lehtla	Estonia	SAKU MARATON	25	M	42:31	43:34	42:11	42:36	41:50	42:01	41:02	42:03	41:47	41:35	44:16	44:07	47:08	51:53	50:37	49:05	47:20	51:47	48:43	47:16	48:24	51:10	50:00	52:31	53:11																																																																													
5	Heavy Metal Ultra 2022	Kaspar Taumann	Estonia	Tallinn	21	M	47:19	48:04	47:34	47:30	50:47	48:20	48:07	47:32	45:38	46:46	46:38	46:53	47:55	46:48	46:24	48:29	49:48	48:27	49:47	48:28	50:30																																																																																	
6	Heavy Metal Ultra 2022	Andre Valkman	Estonia	METEK OÜ	19	M	36:04	36:47	38:11	37:51	39:12	38:25	40:13	41:32	40:29	41:30	41:43	42:20	45:08	45:58	44:58	47:03	47:50	47:13	56:04																																																																																			
7	Heavy Metal Ultra 2022	Blanca Punt	Estonia	Võru	18	F	44:44	43:56	42:47	42:38	42:00	42:03	41:08	42:01	42:38	44:29	44:41	46:15	47:27	48:39	48:56	50:03	49:55	50:03																																																																																				
8	Heavy Metal Ultra 2022	Kristjan Tulp	Estonia	Tallinn	17	M	45:20	47:53	44:14	55:36	43:31	45:41	46:48	48:02	48:07	48:16	48:55	48:10	49:21	50:34	52:24	54:42	56:08																																																																																					
9	Heavy Metal Ultra 2022	Heno Ivanov	Estonia	Tartu	16	M	42:39	42:31	43:46	46:43	45:35	44:54	45:27	47:00	46:05	46:38	48:49	49:58	50:26	52:14	48:51	51:02																																																																																						
10	Heavy Metal Ultra 2022	Merko Vaga	Estonia	Raplamaa	16	M	49:55	45:36	48:40	45:06	46:19	45:19	48:24	47:09	47:09	47:31	48:47	50:13	48:56	51:41	49:31	51:05																																																																																						
11	Heavy Metal Ultra 2022	Liina Kesamaa	Estonia	Triathlon Estonia	16	F	47:40	50:32	48:44	48:02	50:09	48:30	51:21	49:12	50:46	52:02	48:23	49:57	55:35	58:06	57:50	52:33																																																																																						
12	Heavy Metal Ultra 2022	Indrek Piir	Estonia	Tallinn Wolf Group	15	M	55:29	55:05	55:38	53:31	54:18	52:58	52:36	51:19	51:22	50:13	48:54	51:58	48:55	52:23	49:03																																																																																							
