1	Heavy Metal Ultra 2021	Hannes Veide	Estonia	Xteam-KSV.ee	51	M	55:32	54:18	54:07	53:50	41:20	54:59	48:34	28:26	53:45	49:39	44:01	40:36	46:08	41:51	45:01	44:28	46:46	45:22	46:16	45:36	36:40	41:00	38:59	43:35	40:41	38:56	37:52	41:42	40:21	45:25	43:18	41:49	44:40	44:11	40:38	44:03	43:23	48:22	49:21	50:03	47:09	48:21	49:02	49:15	48:30	47:43	50:01	42:50	48:27	49:31	49:45																																																			
2	Heavy Metal Ultra 2021	Ritvars Kalniņš	Latvia	Skrienam kopā/Valmiera	51	M	33:58	34:40	33:45	34:26	34:00	33:40	33:53	33:34	34:15	33:54	34:52	31:36	33:05	32:59	32:18	33:05	32:50	33:25	33:42	32:54	33:09	33:18	38:54	40:38	40:19	39:43	40:35	39:45	39:15	39:13	39:10	39:59	39:54	40:35	40:31	35:21	36:42	36:59	37:55	39:17	38:17	38:59	39:38	38:07	39:06	38:49	40:37	45:24	45:35	44:26	44:35																																																			
3	Heavy Metal Ultra 2021	Reigo Lehtla	Estonia	SAKU MARATON	24	M	43:54	44:30	41:49	41:28	43:22	43:14	42:49	41:33	41:11	42:43	44:00	41:47	40:03	42:22	43:52	43:35	45:24	45:32	43:09	44:51	46:56	46:30	50:34	56:46																																																																														
4	Heavy Metal Ultra 2021	Lauri Pihlak	Estonia	Sparta	21	M	45:01	45:44	46:06	43:06	39:10	41:04	42:52	42:06	45:11	43:04	44:03	38:14	38:23	41:45	42:07	41:58	42:48	42:41	43:25	44:11	50:46																																																																																	
5	Heavy Metal Ultra 2021	Merko Vaga	Estonia	Raplamaa	20	M	44:40	45:48	44:54	44:27	45:24	47:19	46:31	46:55	45:32	47:02	47:08	42:09	44:24	45:12	46:41	47:26	46:43	45:19	46:13	47:44																																																																																		
6	Heavy Metal Ultra 2021	Laura Komp	Estonia	Tallinn	20	F	48:34	50:21	48:53	49:10	48:20	48:23	47:06	46:28	47:10	47:12	47:36	44:00	44:17	45:03	44:43	46:02	46:30	46:31	46:12	51:01																																																																																		
7	Heavy Metal Ultra 2021	Anastassia Vomm	Estonia	I Love Supersport Tallinn	18	F	48:16	48:50	47:58	48:54	49:30	49:20	48:13	49:04	48:59	47:28	48:34	45:06	48:22	48:39	49:00	48:14	47:29	50:42																																																																																				
8	Heavy Metal Ultra 2021	Andre Valkman	Estonia	Metek	17	M	32:55	34:21	35:53	37:05	38:20	38:36	38:57	38:27	40:30	41:35	42:46	39:00	43:10	44:30	43:46	47:33	47:42																																																																																					
9	Heavy Metal Ultra 2021	Kristjan Tulp	Estonia	Treeningpartner	17	M	46:08	47:25	46:51	52:07	51:22	52:25	51:46	51:37	52:16	52:25	52:28	49:53	49:48	46:20	47:48	53:45	51:05																																																																																					
10	Heavy Metal Ultra 2021	Kaspar Kala	Estonia	Keskkond & Partnerid	16	M	45:38	44:32	43:04	41:41	44:12	43:15	42:58	41:39	41:32	42:03	42:20	38:10	38:23	41:55	42:48	44:52																																																																																						
